Word 1,da1,Word 2,da2,Human (mean),Problem
money,penge,bank,bank,8.5,
money,penge,deposit,indbetaling,7.73,
money,penge,withdrawal,udbetaling,6.88,
money,penge,laundering,vaskning,5.65,1
money,penge,operation,operation,3.31,
tiger,tiger,jaguar,jaguar,8,
tiger,tiger,feline,kattedyr,8,
tiger,tiger,carnivore,kødæder,7.08,
tiger,tiger,mammal,pattedyr,6.85,
tiger,tiger,animal,dyr,7,
tiger,tiger,organism,organisme,4.77,
tiger,tiger,fauna,dyreliv,5.62,
tiger,tiger,zoo,zoo,5.87,
psychology,psykologi,psychiatry,psykiatri,8.08,
psychology,psykologi,anxiety,angst,7,
psychology,psykologi,fear,frygt,6.85,
psychology,psykologi,depression,depression,7.42,
psychology,psykologi,clinic,klinik,6.58,
psychology,psykologi,doctor,læge,6.42,
psychology,psykologi,Freud,Freud,8.21,
psychology,psykologi,mind,sind,7.69,
psychology,psykologi,health,helbred,7.23,
psychology,psykologi,science,videnskab,6.71,
psychology,psykologi,discipline,disciplin,5.58,
psychology,psykologi,cognition,kognition,7.48,
planet,planet,star,stjerne,8.45,
planet,planet,constellation,konstellation,8.06,
planet,planet,moon,måne,8.08,
planet,planet,sun,sol,8.02,
planet,planet,galaxy,galakse,8.11,
planet,planet,space,rum,7.92,
planet,planet,astronomer,astronom,7.94,
precedent,forgænger,example,eksempel,5.85,
precedent,forgænger,information,information,3.85,
precedent,forgænger,cognition,kognition,2.81,
precedent,forgænger,law,lov,6.65,
precedent,forgænger,collection,samling,2.5,
precedent,forgænger,group,gruppe,1.77,
precedent,forgænger,antecedent,efterfølger,6.04,
cup,kop,coffee,kaffe,6.58,
cup,kop,tableware,service,6.85,1
cup,kop,article,artikel,2.4,1
cup,kop,artifact,artefakt,2.92,
cup,kop,object,objekt,3.69,
cup,kop,entity,enhed,2.15,
cup,kop,drink,drik,7.25,
cup,kop,food,mad,5,
cup,kop,substance,stof,1.92,
cup,kop,liquid,væske,5.9,
jaguar,jaguar,cat,kat,7.42,
jaguar,jaguar,car,bil,7.27,
energy,energi,secretary,sekretær,1.81,
secretary,sekretær,senate,senat,5.06,
energy,energi,laboratory,laboratorium,5.09,
computer,computer,laboratory,laboratorium,6.78,
weapon,våben,secret,hemmelighed,6.06,
FBI,FBI,fingerprint,fingeraftryk,6.94,
FBI,FBI,investigation,efterforskning,8.31,
investigation,efterforskning,effort,anstrengelse,4.59,1
Mars,Mars,water,vand,2.94,
Mars,Mars,scientist,videnskabsmand,5.63,
news,nyheder,report,rapport,8.16,1
canyon,kløft,landscape,landskab,7.53,
image,billede,surface,overflade,4.56,
discovery,opdagelse,space,rum,6.34,
water,vand,seepage,nedsivning,6.56,
sign,tegn,recess,pause,2.38,1
Wednesday,onsdag,news,nyheder,2.22,
mile,mil,kilometer,kilometer,8.66,
computer,computer,news,nyheder,4.47,
territory,territorie,surface,overflade,5.34,
atmosphere,atmosfære,landscape,landskab,3.69,
president,præsident,medal,medalje,3,
war,krig,troops,tropper,8.13,
record,rekord,number,nummer,6.31,
skin,skind,eye,øje,6.22,
Japanese,japaner,American,amerikaner,6.5,
theater,teater,history,historie,3.91,
volunteer,frivillig,motto,motto,2.56,
prejudice,fordom,recognition,anerkendelse,3,
decoration,dekoration,valor,tapperhed,5.63,
century,århundrede,year,år,7.59,
century,århundrede,nation,nation,3.16,
delay,forsinkelse,racism,racisme,1.19,
delay,forsinkelse,news,nyheder,3.31,
minister,minister,party,parti,6.63,
peace,fred,plan,plan,4.75,
minority,mindretal,peace,fred,3.69,
attempt,forsøg,peace,fred,4.25,
government,regering,crisis,krise,6.56,
deployment,implementering,departure,afgang,4.25,1
deployment,implementering,withdrawal,udbetaling,5.88,1
energy,energi,crisis,krise,5.94,
announcement,bekendtgørelse,news,nyheder,7.56,
announcement,bekendtgørelse,effort,anstrengelse,2.75,
stroke,slagtilfælde,hospital,hospital,7.03,
disability,handicap,death,død,5.47,
victim,offer,emergency,nødsituation,6.47,
treatment,behandling,recovery,bedring,7.91,
journal,tidsskrift,association,forening,4.97,
doctor,læge,personnel,personale,5,
doctor,læge,liability,ansvar,5.19,
liability,ansvar,insurance,forsikring,7.03,
school,skole,center,centrum,3.44,
reason,årsag,hypertension,hypertension,2.31,
reason,årsag,criterion,kriterium,5.91,
hundred,hundrede,percent,procent,7.38,
Harvard,Harvard,Yale,Yale,8.13,
hospital,hospital,infrastructure,infrastruktur,4.63,
death,død,row,række,5.25,1
death,død,inmate,indsatte,5.03,
lawyer,advokat,evidence,bevis,6.69,
life,liv,death,død,7.88,
life,liv,term,periode,4.5,1
word,ord,similarity,lighed,4.75,
board,bestyrelse,recommendation,henstilling,4.47,
governor,guvernør,interview,interview,3.25,
OPEC,OPEC,country,land,5.63,
peace,fred,atmosphere,atmosfære,3.69,
peace,fred,insurance,forsikring,2.94,
territory,territorie,kilometer,kilometer,5.28,
travel,rejse,activity,aktivitet,5,
competition,konkurrence,price,pris,6.44,
consumer,forbruger,confidence,sikkerhed,4.13,
consumer,forbruger,energy,energi,4.75,
problem,problem,airport,lufthavn,2.38,
car,bil,flight,flyrejse,4.94,
credit,kredit,card,kort,8.06,
credit,kredit,information,information,5.31,
hotel,hotel,reservation,reservation,8.03,
grocery,købmand,money,penge,5.94,
registration,registrering,arrangement,arrangement,6,
arrangement,arrangement,accommodation,indkvartering,5.41,
month,måned,hotel,hotel,1.81,
type,type,kind,venlig,8.97,
arrival,ankomst,hotel,hotel,6,
bed,seng,closet,skab,6.72,
closet,skab,clothes,tøj,8,
situation,situation,conclusion,konklussion,4.81,
situation,situation,isolation,isolation,3.88,
impartiality,upartiskhed,interest,interesse,5.16,
direction,retning,combination,kombination,2.25,
street,gade,place,sted,6.44,
street,gade,avenue,avenue,8.88,
street,gade,block,blokering,6.88,
street,gade,children,børn,4.94,
listing,oplistning,proximity,nærhed,2.56,1
listing,oplistning,category,kategori,6.38,1
cell,celle,phone,telefon,7.81,
production,produktion,hike,vandretur,1.75,
benchmark,benchmark,index,indeks,4.25,
media,medie,trading,handel,3.88,
media,medie,gain,gevinst,2.88,
dividend,udbytte,payment,betaling,7.63,
dividend,udbytte,calculation,beregning,6.48,
calculation,beregning,computation,beregning,8.44,1
currency,valuta,market,marked,7.5,
OPEC,OPEC,oil,olie,8.59,
oil,olie,stock,aktie,6.34,
announcement,bekendtgørelse,production,produktion,3.38,
announcement,bekendtgørelse,warning,advarsel,6,
profit,fortjeneste,warning,advarsel,3.88,
profit,fortjeneste,loss,underskud,7.63,
dollar,dollar,yen,yen,7.78,
dollar,dollar,buck,skilling,9.22,
dollar,dollar,profit,fortjeneste,7.38,
dollar,dollar,loss,underskud,6.09,
computer,computer,software,software,8.5,
network,netværk,hardware,hardware,8.31,
phone,telefon,equipment,udstyr,7.13,
equipment,udstyr,maker,fabrikant,5.91,1
luxury,luksus,car,bil,6.47,
five,fem,month,måned,3.38,
report,rapport,gain,gevinst,3.63,
investor,investor,earning,indtjening,7.13,
liquid,væske,water,vand,7.89,
baseball,baseball,season,sæson,5.97,
game,kamp,victory,sejr,7.03,
game,kamp,team,hold,7.69,
marathon,maraton,sprint,sprint,7.47,
game,kamp,series,serie,6.19,
game,kamp,defeat,nederlag,6.97,
seven,syv,series,serie,3.56,
seafood,fisk og skaldyr,sea,hav,7.47,1
seafood,fisk og skaldyr,food,mad,8.34,1
seafood,fisk og skaldyr,lobster,hummer,8.7,1
lobster,hummer,food,mad,7.81,
lobster,hummer,wine,vin,5.7,
food,mad,preparation,tilberedelse,6.22,
video,video,archive,galakse,6.34,
start,start,year,år,4.06,
start,start,match,match,4.47,
game,kamp,round,runde,5.97,
boxing,boksning,round,runde,7.61,
championship,mesterskab,tournament,turnering,8.36,
fighting,kæmper,defeating,besejre,7.41,
line,linje,insurance,forsikring,2.69,
day,dag,summer,sommer,3.94,
summer,sommer,drought,tørke,7.16,
summer,sommer,nature,natur,5.63,
day,dag,dawn,daggry,7.53,
nature,natur,environment,miljø,8.31,
environment,miljø,ecology,økologi,8.81,
nature,natur,man,mand,6.25,
man,mand,woman,kvinde,8.3,
man,mand,governor,guvernør,5.25,
murder,mord,manslaughter,manddrab,8.53,
soap,sæbe,opera,opera,7.94,1
opera,opera,performance,opførsel,6.88,
life,liv,lesson,lektion,5.94,1
focus,fokus,life,liv,4.06,
production,produktion,crew,mandskab,6.25,1
television,tv,film,film,7.72,
lover,elsker,quarrel,skænderi,6.19,
viewer,seer,serial,serie,2.97,
possibility,mulighed,girl,pige,1.94,
population,befolkning,development,udvikling,3.75,
morality,moral,importance,betydning,3.31,
morality,moral,marriage,ægteskab,3.69,
Mexico,Mexico,Brazil,Brasilien,7.44,
gender,køn,equality,lighed,6.41,
change,ændring,attitude,holdning,5.44,
family,familie,planning,planlægning,6.25,
opera,opera,industry,industri,2.63,
sugar,sukker,approach,tilgang,0.88,
practice,øvelse,institution,institution,3.19,
ministry,ministerium,culture,kultur,4.69,
problem,problem,challenge,udfordring,6.75,
size,størrelse,prominence,fremtrædende,5.31,
country,land,citizen,borger,7.31,
planet,planet,people,folk,5.75,
development,udvikling,issue,spørgsmål,3.97,
experience,oplevelse,music,musik,3.47,
music,musik,project,projekt,3.63,
glass,glas,metal,metal,5.56,
aluminum,aluminium,metal,metal,7.83,
chance,chance,credibility,troværdighed,3.88,
exhibit,udstille,memorabilia,memorabilia,5.31,1
concert,koncert,virtuoso,virtuos,6.81,
rock,rock,jazz,jazz,7.59,
museum,museum,theater,teater,7.19,
observation,observation,architecture,arkitektur,4.38,
space,rum,world,verden,6.53,
preservation,bevarelse,world,verden,6.19,
admission,adgang,ticket,billet,7.69,
shower,byge,thunderstorm,tordenbyge,6.31,
shower,byge,flood,oversvømmelse,6.03,
weather,vejr,forecast,vejrudsigt,8.34,
disaster,katastrofe,area,område,6.25,
governor,guvernør,office,kontor,6.34,
architecture,arkitektur,century,århundrede,3.78,
